Time(seconds),Bus Name,Signal Name,Data
3.918876000,Async 5,Digital 6,00
3.918963000,Async 5,Digital 6,00
3.919050000,Async 5,Digital 6,00
3.919137000,Async 5,Digital 6,00
3.919223000,Async 5,Digital 6,00
3.919310000,Async 5,Digital 6,00
3.919397000,Async 5,Digital 6,00
3.919483000,Async 5,Digital 6,00
3.919570000,Async 5,Digital 6,00
3.919657000,Async 5,Digital 6,00
3.919744000,Async 5,Digital 6,00
3.919830000,Async 5,Digital 6,00
3.919917000,Async 5,Digital 6,00
3.920004000,Async 5,Digital 6,00
3.920090000,Async 5,Digital 6,00
3.920177000,Async 5,Digital 6,00
3.920264000,Async 5,Digital 6,00
3.920351000,Async 5,Digital 6,00
3.920437000,Async 5,Digital 6,00
3.920524000,Async 5,Digital 6,00
3.920611000,Async 5,Digital 6,00
3.920697000,Async 5,Digital 6,00
3.920784000,Async 5,Digital 6,00
3.920871000,Async 5,Digital 6,00
3.920957000,Async 5,Digital 6,00
3.921044000,Async 5,Digital 6,00
3.921131000,Async 5,Digital 6,00
3.921218000,Async 5,Digital 6,00
3.921304000,Async 5,Digital 6,00
3.921391000,Async 5,Digital 6,00
3.921478000,Async 5,Digital 6,00
3.921564000,Async 5,Digital 6,00
3.921651000,Async 5,Digital 6,00
3.921738000,Async 5,Digital 6,00
3.921825000,Async 5,Digital 6,00
3.921911000,Async 5,Digital 6,00
3.921998000,Async 5,Digital 6,00
3.922085000,Async 5,Digital 6,00
3.922171000,Async 5,Digital 6,00
3.922258000,Async 5,Digital 6,00
3.922345000,Async 5,Digital 6,00
3.922432000,Async 5,Digital 6,00
3.922518000,Async 5,Digital 6,00
3.922605000,Async 5,Digital 6,00
3.922692000,Async 5,Digital 6,00
3.922778000,Async 5,Digital 6,00
3.922865000,Async 5,Digital 6,00
3.922952000,Async 5,Digital 6,00
3.923039000,Async 5,Digital 6,00
3.923125000,Async 5,Digital 6,00
3.923212000,Async 5,Digital 6,00
3.923299000,Async 5,Digital 6,00
3.923385000,Async 5,Digital 6,00
3.923472000,Async 5,Digital 6,00
3.923559000,Async 5,Digital 6,00
3.923646000,Async 5,Digital 6,00
3.923732000,Async 5,Digital 6,00
3.923819000,Async 5,Digital 6,00
3.923906000,Async 5,Digital 6,00
3.923992000,Async 5,Digital 6,00
3.924079000,Async 5,Digital 6,00
3.924166000,Async 5,Digital 6,00
3.924253000,Async 5,Digital 6,00
3.924339000,Async 5,Digital 6,00
3.924426000,Async 5,Digital 6,00
3.924513000,Async 5,Digital 6,00
3.924599000,Async 5,Digital 6,00
3.924686000,Async 5,Digital 6,00
3.924773000,Async 5,Digital 6,00
3.924859000,Async 5,Digital 6,00
3.924946000,Async 5,Digital 6,00
3.925033000,Async 5,Digital 6,00
3.925120000,Async 5,Digital 6,00
3.925206000,Async 5,Digital 6,00
3.925293000,Async 5,Digital 6,00
3.925380000,Async 5,Digital 6,00
3.925466000,Async 5,Digital 6,00
3.925553000,Async 5,Digital 6,00
3.925640000,Async 5,Digital 6,00
3.925727000,Async 5,Digital 6,00
3.925813000,Async 5,Digital 6,00
3.925900000,Async 5,Digital 6,00
3.925987000,Async 5,Digital 6,00
3.926073000,Async 5,Digital 6,00
3.926160000,Async 5,Digital 6,00
3.926247000,Async 5,Digital 6,00
3.926334000,Async 5,Digital 6,00
3.926420000,Async 5,Digital 6,00
3.926507000,Async 5,Digital 6,00
3.926594000,Async 5,Digital 6,00
3.926680000,Async 5,Digital 6,00
3.926767000,Async 5,Digital 6,00
