Time(seconds),Bus Name,Signal Name,Data
1.453617000,Async 3,Digital 3,FF
1.453702750,Async 3,Digital 3,15
1.453788500,Async 3,Digital 3,C2
1.453874250,Async 3,Digital 3,01
1.453960250,Async 3,Digital 3,00
1.454046000,Async 3,Digital 3,0A
1.454131750,Async 3,Digital 3,00
1.454217500,Async 3,Digital 3,09
1.454303500,Async 3,Digital 3,00
1.454389250,Async 3,Digital 3,03
1.454475000,Async 3,Digital 3,70
1.454560750,Async 3,Digital 3,00
1.454646500,Async 3,Digital 3,00
1.454732500,Async 3,Digital 3,EA
1.454818250,Async 3,Digital 3,01
1.454904000,Async 3,Digital 3,02
1.454989750,Async 3,Digital 3,00
1.455075500,Async 3,Digital 3,00
1.455161500,Async 3,Digital 3,00
1.455247250,Async 3,Digital 3,01
1.455333000,Async 3,Digital 3,00
1.455418750,Async 3,Digital 3,00
1.455504500,Async 3,Digital 3,C2
1.455669250,Async 3,Digital 4,01
1.455756250,Async 3,Digital 4,00
1.455843250,Async 3,Digital 4,FC
1.455930250,Async 3,Digital 4,13
1.456017250,Async 3,Digital 4,C2
1.456104250,Async 3,Digital 4,02
1.456191250,Async 3,Digital 4,00
1.456278250,Async 3,Digital 4,09
1.456365250,Async 3,Digital 4,00
1.456452000,Async 3,Digital 4,4D
1.456539000,Async 3,Digital 4,0E
1.456626000,Async 3,Digital 4,02
1.456713000,Async 3,Digital 4,40
1.456800000,Async 3,Digital 4,00
1.456887000,Async 3,Digital 4,00
1.456973750,Async 3,Digital 4,00
1.457060750,Async 3,Digital 4,00
1.457147750,Async 3,Digital 4,00
1.457234500,Async 3,Digital 4,00
1.457321500,Async 3,Digital 4,00
1.457408500,Async 3,Digital 4,00
1.457495500,Async 3,Digital 4,00
1.457582500,Async 3,Digital 4,00
1.554220750,Async 3,Digital 4,01
1.554307750,Async 3,Digital 4,00
1.554394750,Async 3,Digital 4,FC
1.554481750,Async 3,Digital 4,13
1.554568750,Async 3,Digital 4,C2
1.554655750,Async 3,Digital 4,02
1.554742500,Async 3,Digital 4,00
1.554829500,Async 3,Digital 4,09
1.554916500,Async 3,Digital 4,00
1.555003500,Async 3,Digital 4,A0
1.555090500,Async 3,Digital 4,00
1.555177500,Async 3,Digital 4,04
1.555264500,Async 3,Digital 4,50
1.555351500,Async 3,Digital 4,00
1.555438500,Async 3,Digital 4,00
1.555525500,Async 3,Digital 4,1D
1.555612250,Async 3,Digital 4,00
1.555699250,Async 3,Digital 4,3A
1.555786250,Async 3,Digital 4,00
1.555873250,Async 3,Digital 4,00
1.555960250,Async 3,Digital 4,00
1.556047250,Async 3,Digital 4,00
1.556134250,Async 3,Digital 4,00
1.777953250,Async 3,Digital 3,04
1.778040000,Async 3,Digital 3,FF
1.778126750,Async 3,Digital 3,13
1.778213250,Async 3,Digital 3,C2
1.778300000,Async 3,Digital 3,01
1.778386750,Async 3,Digital 3,00
1.778473500,Async 3,Digital 3,09
1.778560250,Async 3,Digital 3,00
1.778647000,Async 3,Digital 3,A0
1.778733500,Async 3,Digital 3,00
1.778820250,Async 3,Digital 3,04
1.778907000,Async 3,Digital 3,50
1.778993750,Async 3,Digital 3,00
1.779080500,Async 3,Digital 3,00
1.779167250,Async 3,Digital 3,1D
1.779253750,Async 3,Digital 3,00
1.779340500,Async 3,Digital 3,3A
1.779427250,Async 3,Digital 3,00
