Time(seconds),Bus Name,Signal Name,Data
7.285246000,Async 5,Digital 6,08
7.285333000,Async 5,Digital 6,06
7.285420000,Async 5,Digital 6,00
7.285506000,Async 5,Digital 6,08
7.285593000,Async 5,Digital 6,00
7.285680000,Async 5,Digital 6,03
7.285766000,Async 5,Digital 6,28
7.286007000,Async 5,Digital 5,02
7.286094000,Async 5,Digital 5,48
7.286180000,Async 5,Digital 5,00
7.286267000,Async 5,Digital 5,0D
7.286354000,Async 5,Digital 5,00
7.286441000,Async 5,Digital 5,09
7.286528000,Async 5,Digital 5,00
7.286614000,Async 5,Digital 5,04
7.286701000,Async 5,Digital 5,00
7.286788000,Async 5,Digital 5,09
7.286875000,Async 5,Digital 5,07
7.286962000,Async 5,Digital 5,07
7.287049000,Async 5,Digital 5,00
7.287136000,Async 5,Digital 5,02
7.287222000,Async 5,Digital 5,08
7.287309000,Async 5,Digital 5,00
7.287396000,Async 5,Digital 5,05
7.287483000,Async 5,Digital 5,2A
7.287509000,Async 5,Digital 6,04
7.287631000,Async 5,Digital 6,13
7.287717000,Async 5,Digital 6,05
7.287804000,Async 5,Digital 6,01
7.287891000,Async 5,Digital 6,48
7.287978000,Async 5,Digital 6,00
7.288064000,Async 5,Digital 6,01
7.288151000,Async 5,Digital 6,00
7.344478000,Async 5,Digital 6,02
7.344565000,Async 5,Digital 6,48
7.344652000,Async 5,Digital 6,20
7.344739000,Async 5,Digital 6,0B
7.344825000,Async 5,Digital 6,00
7.344912000,Async 5,Digital 6,07
7.344999000,Async 5,Digital 6,00
7.345085000,Async 5,Digital 6,04
7.345172000,Async 5,Digital 6,00
7.345259000,Async 5,Digital 6,08
7.345346000,Async 5,Digital 6,08
7.345432000,Async 5,Digital 6,00
7.345519000,Async 5,Digital 6,08
7.345606000,Async 5,Digital 6,00
7.345692000,Async 5,Digital 6,03
7.345779000,Async 5,Digital 6,28
7.345994000,Async 5,Digital 5,02
7.346081000,Async 5,Digital 5,48
7.346167000,Async 5,Digital 5,00
7.346254000,Async 5,Digital 5,09
7.346341000,Async 5,Digital 5,00
7.346428000,Async 5,Digital 5,05
7.346515000,Async 5,Digital 5,00
7.346602000,Async 5,Digital 5,04
7.346688000,Async 5,Digital 5,00
7.346775000,Async 5,Digital 5,01
7.346862000,Async 5,Digital 5,08
7.346949000,Async 5,Digital 5,08
7.347036000,Async 5,Digital 5,00
7.347122000,Async 5,Digital 5,0A
7.347149000,Async 5,Digital 6,04
7.347271000,Async 5,Digital 6,13
7.347357000,Async 5,Digital 6,05
7.347444000,Async 5,Digital 6,01
7.347531000,Async 5,Digital 6,48
7.347617000,Async 5,Digital 6,00
7.347704000,Async 5,Digital 6,01
7.347791000,Async 5,Digital 6,00
7.404500000,Async 5,Digital 6,02
7.404587000,Async 5,Digital 6,48
7.404673000,Async 5,Digital 6,20
7.404760000,Async 5,Digital 6,0B
7.404847000,Async 5,Digital 6,00
7.404933000,Async 5,Digital 6,07
7.405020000,Async 5,Digital 6,00
7.405107000,Async 5,Digital 6,04
7.405194000,Async 5,Digital 6,00
7.405280000,Async 5,Digital 6,08
7.405367000,Async 5,Digital 6,09
7.405454000,Async 5,Digital 6,00
7.405540000,Async 5,Digital 6,0F
7.405627000,Async 5,Digital 6,00
7.405714000,Async 5,Digital 6,03
7.405801000,Async 5,Digital 6,28
7.406068000,Async 5,Digital 5,02
7.406154000,Async 5,Digital 5,48
7.406241000,Async 5,Digital 5,00
7.406328000,Async 5,Digital 5,14
7.406415000,Async 5,Digital 5,00
7.406501000,Async 5,Digital 5,10
7.406588000,Async 5,Digital 5,00
7.406675000,Async 5,Digital 5,04
7.406762000,Async 5,Digital 5,00
7.406849000,Async 5,Digital 5,09
7.406935000,Async 5,Digital 5,07
7.407022000,Async 5,Digital 5,0A
7.407109000,Async 5,Digital 5,00
7.407196000,Async 5,Digital 5,0A
7.407283000,Async 5,Digital 5,0B
7.407370000,Async 5,Digital 5,00
7.407457000,Async 5,Digital 5,F1
7.407543000,Async 5,Digital 5,FF
7.407630000,Async 5,Digital 5,0C
7.407717000,Async 5,Digital 5,00
7.407804000,Async 5,Digital 5,0A
7.407891000,Async 5,Digital 5,0D
